,Open,High,Low,Close,Volume
2020-11-20 00:00:00-05:00,118.35128,118.389496,118.30634,118.348755,171619.97
2020-11-20 00:01:00-05:00,118.34045,118.34137,118.24087,118.27444,162857.33
2020-11-20 00:02:00-05:00,118.26684,118.28127,118.20166,118.23548,146871.88
2020-11-20 00:03:00-05:00,118.23272,118.25068,118.187004,118.21087,130995.48
2020-11-20 00:04:00-05:00,118.21115,118.22769,118.15702,118.18271,126070.66
2020-11-20 00:05:00-05:00,118.18342,118.20349,118.136086,118.163284,126387.43
2020-11-20 00:06:00-05:00,118.16337,118.18572,118.12214,118.152306,126162.83
2020-11-20 00:07:00-05:00,118.154976,118.19905,118.133644,118.17623,131435.8
2020-11-20 00:08:00-05:00,118.181335,118.218636,118.15933,118.196976,129041.195
2020-11-20 00:09:00-05:00,118.2085,118.27809,118.19592,118.26064,149124.0
2020-11-20 00:10:00-05:00,118.26732,118.31282,118.25141,118.29562,139422.88
2020-11-20 00:11:00-05:00,118.3038,118.309746,118.21755,118.23786,124854.08
2020-11-20 00:12:00-05:00,118.24404,118.25904,118.19755,118.22314,120964.69
2020-11-20 00:13:00-05:00,118.22801,118.225945,118.148254,118.16597,125110.516
2020-11-20 00:14:00-05:00,118.16866,118.206245,118.147026,118.19114,119092.43
2020-11-20 00:15:00-05:00,118.20348,118.300735,118.19368,118.28784,180043.5
2020-11-20 00:16:00-05:00,118.28757,118.31065,118.25231,118.287346,128040.56
2020-11-20 00:17:00-05:00,118.285194,118.31484,118.25676,118.290726,117673.6
2020-11-20 00:18:00-05:00,118.29015,118.30034,118.243,118.265045,106510.195
2020-11-20 00:19:00-05:00,118.262886,118.28019,118.22853,118.25737,104253.055
2020-11-20 00:20:00-05:00,118.256615,118.2609,118.20908,118.231995,100245.83
2020-11-20 00:21:00-05:00,118.22854,118.22506,118.15582,118.17992,111641.15
2020-11-20 00:22:00-05:00,118.171295,118.167496,118.07955,118.10793,146408.97
2020-11-20 00:23:00-05:00,118.09953,118.09819,117.99284,118.03268,190949.22
2020-11-20 00:24:00-05:00,118.03142,118.04227,117.956505,118.01164,174646.3
2020-11-20 00:25:00-05:00,118.01061,118.02943,117.95232,118.00514,166663.9
2020-11-20 00:26:00-05:00,118.00397,118.01096,117.92596,117.970924,173886.23
2020-11-20 00:27:00-05:00,117.9691,117.985115,117.91094,117.96322,166505.45
2020-11-20 00:28:00-05:00,117.95728,117.97228,117.90238,117.95156,166294.31
2020-11-20 00:29:00-05:00,117.944916,117.96262,117.89734,117.94685,161913.27
2020-11-20 00:30:00-05:00,117.939995,117.96302,117.90224,117.9525,156286.33
2020-11-20 00:31:00-05:00,117.9513,118.01076,117.9301,118.001724,153986.08
2020-11-20 00:32:00-05:00,118.00059,118.0294,117.96927,118.01461,144758.81
2020-11-20 00:33:00-05:00,118.01475,118.03767,117.984375,118.02292,129454.94
2020-11-20 00:34:00-05:00,118.0207,118.05172,118.0008,118.04565,123331.56
2020-11-20 00:35:00-05:00,118.0437,118.0814,118.02669,118.075264,122800.22
2020-11-20 00:36:00-05:00,118.07313,118.092255,118.04676,118.08038,114508.336
2020-11-20 00:37:00-05:00,118.07686,118.0987,118.05521,118.08908,109054.336
2020-11-20 00:38:00-05:00,118.08426,118.10077,118.06139,118.09174,105688.88
2020-11-20 00:39:00-05:00,118.08927,118.12425,118.07605,118.11903,108378.92
2020-11-20 00:40:00-05:00,118.12103,118.1637,118.10978,118.15834,114392.1
2020-11-20 00:41:00-05:00,118.15979,118.1856,118.14081,118.17536,105250.96
2020-11-20 00:42:00-05:00,118.17505,118.18388,118.13721,118.159294,96519.79
2020-11-20 00:43:00-05:00,118.15563,118.15666,118.101135,118.118645,100743.75
2020-11-20 00:44:00-05:00,118.112045,118.11192,118.05881,118.07734,107813.805
2020-11-20 00:45:00-05:00,118.07883,118.150536,118.06935,118.14315,116131.35
2020-11-20 00:46:00-05:00,118.14205,118.14776,118.104546,118.12822,103422.5
2020-11-20 00:47:00-05:00,118.13571,118.2237,118.12223,118.21535,129929.48
2020-11-20 00:48:00-05:00,118.21205,118.22052,118.16407,118.19215,102135.77
2020-11-20 00:49:00-05:00,118.188095,118.19861,118.13661,118.15881,100119.32
2020-11-20 00:50:00-05:00,118.15453,118.16155,118.11024,118.13044,100118.07
2020-11-20 00:51:00-05:00,118.12399,118.14049,118.0992,118.12775,98425.016
2020-11-20 00:52:00-05:00,118.12752,118.17402,118.11702,118.16626,109274.5
2020-11-20 00:53:00-05:00,118.16902,118.199036,118.153046,118.19176,105992.65
2020-11-20 00:54:00-05:00,118.193665,118.20158,118.155174,118.1784,94015.12
2020-11-20 00:55:00-05:00,118.17628,118.18295,118.13974,118.16088,91941.63
2020-11-20 00:56:00-05:00,118.15598,118.15103,118.08145,118.09816,106911.84
2020-11-20 00:57:00-05:00,118.09099,118.09923,118.05857,118.084656,102455.516
2020-11-20 00:58:00-05:00,118.09698,118.30516,118.090706,118.31572,223642.42
2020-11-20 00:59:00-05:00,118.28389,118.29209,118.214615,118.25789,130041.49
