,Open,High,Low,Close,Volume
2020-11-20 00:00:00-05:00,118.17048,118.198326,118.13,118.16998,216930.2
2020-11-20 00:01:00-05:00,118.28904,118.32766,118.26262,118.30488,103808.41
2020-11-20 00:02:00-05:00,118.47285,118.51535,118.438416,118.48321,101896.445
2020-11-20 00:03:00-05:00,118.5227,118.55761,118.48926,118.52298,136434.53
2020-11-20 00:04:00-05:00,118.48778,118.51084,118.44955,118.47176,163015.77
2020-11-20 00:05:00-05:00,118.39107,118.401955,118.34311,118.35729,164072.77
2020-11-20 00:06:00-05:00,118.236626,118.23661,118.1705,118.18121,157830.98
2020-11-20 00:07:00-05:00,118.071785,118.06955,117.9863,118.00042,160634.86
2020-11-20 00:08:00-05:00,117.9212,117.92333,117.824585,117.84757,182117.89
2020-11-20 00:09:00-05:00,117.8309,117.844284,117.735146,117.77086,199151.2
2020-11-20 00:10:00-05:00,117.77896,117.802826,117.69207,117.737976,203237.83
2020-11-20 00:11:00-05:00,117.740524,117.77101,117.66123,117.71391,207417.53
2020-11-20 00:12:00-05:00,117.71866,117.753426,117.64528,117.70128,207240.03
2020-11-20 00:13:00-05:00,117.72523,117.76269,117.65994,117.71614,188041.19
2020-11-20 00:14:00-05:00,117.75245,117.79002,117.69712,117.75135,160127.92
2020-11-20 00:15:00-05:00,117.795296,117.8306,117.749985,117.8009,133670.92
2020-11-20 00:16:00-05:00,117.898575,117.93158,117.86791,117.91351,99063.93
2020-11-20 00:17:00-05:00,118.15017,118.18493,118.13555,118.1796,65472.3
2020-11-20 00:18:00-05:00,118.327995,118.36464,118.318695,118.36161,68294.664
2020-11-20 00:19:00-05:00,118.33727,118.36292,118.32655,118.3525,90940.65
2020-11-20 00:20:00-05:00,118.26019,118.2694,118.23725,118.24607,111457.26
2020-11-20 00:21:00-05:00,118.11696,118.1128,118.07403,118.0723,129575.055
2020-11-20 00:22:00-05:00,118.07014,118.07399,118.0159,118.02016,125719.77
2020-11-20 00:23:00-05:00,118.222206,118.24684,118.18254,118.2013,91623.26
2020-11-20 00:24:00-05:00,118.38355,118.41966,118.357796,118.38898,86153.17
2020-11-20 00:25:00-05:00,118.46014,118.49649,118.43648,118.466,107836.96
2020-11-20 00:26:00-05:00,118.46659,118.49605,118.43905,118.460785,134417.28
2020-11-20 00:27:00-05:00,118.41534,118.43506,118.38115,118.395195,148130.66
2020-11-20 00:28:00-05:00,118.296295,118.30308,118.24887,118.25674,150496.73
2020-11-20 00:29:00-05:00,118.06814,118.0582,117.99284,117.99647,170717.22
2020-11-20 00:30:00-05:00,117.94048,117.94172,117.84695,117.864204,182462.39
2020-11-20 00:31:00-05:00,117.8928,117.90763,117.8071,117.83754,170044.64
2020-11-20 00:32:00-05:00,117.87346,117.895996,117.80038,117.84153,152723.53
2020-11-20 00:33:00-05:00,117.83942,117.86326,117.77166,117.81968,152208.61
2020-11-20 00:34:00-05:00,117.79996,117.824234,117.73212,117.7832,162806.8
2020-11-20 00:35:00-05:00,117.767235,117.793304,117.69956,117.75154,174645.95
2020-11-20 00:36:00-05:00,117.751114,117.77977,117.68632,117.738304,177430.22
2020-11-20 00:37:00-05:00,117.748924,117.779335,117.688934,117.740265,171327.27
2020-11-20 00:38:00-05:00,117.76444,117.79538,117.71095,117.76072,156072.67
2020-11-20 00:39:00-05:00,117.86536,117.89727,117.82938,117.87409,110471.11
2020-11-20 00:40:00-05:00,118.1885,118.22563,118.17475,118.21903,61813.22
2020-11-20 00:41:00-05:00,118.46155,118.50801,118.44901,118.497185,71033.3
2020-11-20 00:42:00-05:00,118.50398,118.5423,118.489685,118.52003,116115.38
2020-11-20 00:43:00-05:00,118.37422,118.382484,118.352646,118.3553,150960.33
2020-11-20 00:44:00-05:00,118.14199,118.128685,118.08957,118.07931,167839.19
2020-11-20 00:45:00-05:00,117.992325,117.988365,117.912186,117.91273,175323.89
2020-11-20 00:46:00-05:00,117.92638,117.93587,117.846054,117.861824,166863.19
2020-11-20 00:47:00-05:00,117.92811,117.948494,117.86101,117.890434,139934.6
2020-11-20 00:48:00-05:00,117.96873,117.993675,117.91615,117.954575,113788.664
2020-11-20 00:49:00-05:00,118.022575,118.04658,117.97976,118.02211,97972.61
2020-11-20 00:50:00-05:00,117.96656,117.98017,117.920586,117.960075,110613.7
2020-11-20 00:51:00-05:00,117.912094,117.92255,117.85647,117.89303,126634.74
2020-11-20 00:52:00-05:00,117.89932,117.91298,117.84451,117.87952,127447.73
2020-11-20 00:53:00-05:00,117.95259,117.970856,117.90865,117.943344,107602.2
2020-11-20 00:54:00-05:00,118.125244,118.15015,118.09742,118.134384,78203.055
2020-11-20 00:55:00-05:00,118.313095,118.34497,118.29417,118.334656,72395.43
2020-11-20 00:56:00-05:00,118.334526,118.35876,118.31803,118.34673,91213.97
2020-11-20 00:57:00-05:00,118.155655,118.14853,118.12218,118.12773,122907.22
2020-11-20 00:58:00-05:00,117.94337,117.92895,117.87405,117.87491,167812.72
2020-11-20 00:59:00-05:00,117.863846,117.865204,117.78366,117.79639,182630.4
